Date,Sales
2010-02-07,1967220.5299999996
2010-02-14,2030933.4599999995
2010-02-21,1970274.64
2010-02-28,1817850.32
2010-03-07,1939980.4300000004
2010-03-14,1840686.9400000002
2010-03-21,1879794.89
2010-03-28,1882095.9799999995
2010-04-04,2142482.1399999997
2010-04-11,1898321.3299999998
2010-04-18,1819660.4399999997
2010-04-25,1909330.7699999993
2010-05-02,1785823.3700000003
2010-05-09,2005478.4599999995
2010-05-16,1890273.4399999995
2010-05-23,1853657.6
2010-05-30,1877358.86
2010-06-06,2022705.22
2010-06-13,2037880.9600000002
2010-06-20,2003435.31
2010-06-27,1970340.2500000002
2010-07-04,2018314.7099999997
2010-07-11,1870843.9000000001
2010-07-18,1932231.0500000007
2010-07-25,1907351.1999999995
2010-08-01,1817887.23
2010-08-08,1969121.4500000002
2010-08-15,1877592.5500000003
2010-08-22,1997397.6299999992
2010-08-29,1908278.2700000003
2010-09-05,1911852.5799999998
2010-09-12,1772143.9399999995
2010-09-19,1790279.74
2010-09-26,1705655.09
2010-10-03,1765584.4799999993
2010-10-10,1871924.0699999998
2010-10-17,1851431.06
2010-10-24,1796949.5899999999
2010-10-31,1887895.07
2010-11-07,1854967.6599999997
2010-11-14,1939964.6299999997
2010-11-21,1925393.9100000006
2010-11-28,2766400.0500000003
2010-12-05,2083379.8900000004
2010-12-12,2461468.3500000006
2010-12-19,2771646.81
2010-12-26,3595903.2
2011-01-02,1675291.9999999995
2011-01-09,1744544.3900000001
2011-01-16,1682316.3099999996
2011-01-23,1770177.37
2011-01-30,1633663.1200000006
2011-02-06,1848186.5799999996
2011-02-13,1944438.8999999994
2011-02-20,2003480.5900000003
2011-02-27,1831933.9500000002
2011-03-06,1894960.68
2011-03-13,1852432.5799999996
2011-03-20,1852443.7799999998
2011-03-27,1807545.4299999997
2011-04-03,1864238.6400000008
2011-04-10,1887465.0400000003
2011-04-17,1950994.0399999993
2011-04-24,2124316.34
2011-05-01,1895583.12
2011-05-08,1986380.3999999994
2011-05-15,1958823.5599999998
2011-05-22,1860923.5500000003
2011-05-29,1866369.93
2011-06-05,1935593.8699999996
2011-06-12,1997816.98
2011-06-19,2086433.4900000007
2011-06-26,2009163.0799999998
2011-07-03,2048035.74
2011-07-10,2021699.3800000004
2011-07-17,1956813.3099999998
2011-07-24,1987089.3600000003
2011-07-31,1880785.6900000002
2011-08-07,2076231.8000000003
2011-08-14,1970341.3799999994
2011-08-21,2090340.9800000002
2011-08-28,2035244.5399999996
2011-09-04,1953628.8199999998
2011-09-11,1872921.31
2011-09-18,1923223.8199999996
2011-09-25,1847430.9600000002
2011-10-02,1835662.6899999995
2011-10-09,2067232.560000001
2011-10-16,1929659.0700000003
2011-10-23,1973544.2700000003
2011-10-30,1948733.8100000003
2011-11-06,2036317.539999999
2011-11-13,2111592.09
2011-11-20,2016323.5100000002
2011-11-27,2864170.61
2011-12-04,2051315.6600000004
2011-12-11,2462779.060000001
2011-12-18,2760346.7099999995
2011-12-25,3556766.03
2012-01-01,1969056.9100000006
2012-01-08,1865752.7799999998
2012-01-15,1794962.6399999997
2012-01-22,1811606.21
2012-01-29,1733983.0899999996
2012-02-05,1927780.7400000005
2012-02-12,2069284.5699999998
2012-02-19,2214477.0599999996
2012-02-26,1929768.03
2012-03-04,1969742.7599999998
2012-03-11,1986445.6499999994
2012-03-18,2025582.62
2012-03-25,1904421.74
2012-04-01,1948982.6999999997
2012-04-08,2271614.76
2012-04-15,2057637.8600000003
2012-04-22,1955689.1200000003
2012-04-29,1970121.6499999997
2012-05-06,1995994.5100000002
2012-05-13,2080764.1699999992
2012-05-20,2131900.55
2012-05-27,2043349.41
2012-06-03,2035431.3899999997
2012-06-10,2182437.9
2012-06-17,2152229.11
2012-06-24,2094372.9999999995
2012-07-01,2037663.7100000004
2012-07-08,2184980.350000001
2012-07-15,2002750.99
2012-07-22,2053089.3199999998
2012-07-29,1914430.53
2012-08-05,2044148.23
2012-08-12,2041019.9200000004
2012-08-19,2095769.1800000002
2012-08-26,2059458.2500000007
2012-09-02,2073855.42
2012-09-09,2165796.31
2012-09-16,1919917.0299999996
2012-09-23,1938379.66
2012-09-30,1927664.1100000003
2012-10-07,2041918.7400000005
2012-10-14,1999079.44
2012-10-21,2018010.1500000001
2012-10-28,2035189.6600000001
